Helpful,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,1,31,69.92,4.4,35.88,20.23,15.5,22.58,87.1,70.97,54.84,22.58,16.13,9.68,0,0,0,6.45,6.45,19.35,9.68,6.45,12.9,9.68,0,0,0,16.13,6.45,6.45,0,0,0,0,12.9,0,12.9,3.23,0,3.23,0,0,6.45,0,6.45,3.23,3.23,0,0,0,0,0,0,0,12.9,6.45,0,0,0,3.23,0,6.45,0,0,0,0,0,0,0,0,6.45,0,0,3.23,3.23,0,0,0,0,0,0,0,0,0,0,3.23,3.23,0,0,0,0,0,0,0,3.23,3.23,0,0,0,0,0,0,0,0,6.45,3.23,0,0,0,0,0,9.68,9.68,0,0,0,0,0,0
1,1,95,75.71,11.47,33.61,52.78,13.57,16.84,82.11,58.95,45.26,8.42,2.11,2.11,0,0,0,0,6.32,8.42,4.21,6.32,15.79,6.32,4.21,8.42,0,13.68,6.32,3.16,3.16,0,2.11,1.05,8.42,0,8.42,0,2.11,1.05,2.11,0,4.21,0,2.11,2.11,0,0,0,0,0,0,0,0,2.11,2.11,0,0,0,0,1.05,0,0,0,0,0,7.37,0,0,7.37,5.26,0,1.05,4.21,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,7.37,9.47,0,3.16,4.21,3.16,0,0,3.16,4.21,8.42,0,0,0,0,0,0,27.37,8.42,4.21,0,0,2.11,12.63,0
1,1,201,21.73,40.06,62.67,59.22,25.13,11.94,90.05,75.12,62.19,18.41,10.95,5.47,2.99,1.49,0,1,7.46,19.4,7.96,0.5,8.46,11.44,6.97,4.98,1.49,18.41,6.47,7.46,6.97,2.99,1.49,2.49,13.43,1.49,11.94,1.49,3.98,2.99,1,0,2.99,0,3.48,2.99,0.5,1,1,0,0,0,0,0,6.97,1.49,0,0,0.5,0,1,5.47,0,0,0,0,0.5,0,0,0.5,3.98,0.5,2.49,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,5.47,9.95,0.5,0.5,6.47,0,2.49,0,5.97,5.47,6.47,1,0,0,0,0,0,9.95,5.47,2.49,0,0.5,1,0.5,0
1,1,305,61.27,2.71,85.44,24.41,16.94,18.36,90.49,73.11,61.64,14.43,8.85,7.87,0,0.66,0,0.33,5.57,19.67,10.82,1.31,13.44,7.54,5.57,6.56,2.95,17.05,4.26,3.93,4.59,0.33,3.61,0.66,14.75,1.97,12.79,4.59,0.98,1.97,0.66,0.33,2.62,0.33,2.3,1.31,0.98,0.98,0.33,0.66,0.33,0,0,0,4.59,2.3,0,0,0,0,1.97,1.64,0.33,0,0.33,0,5.25,0,0,5.25,4.92,1.97,0,2.62,0.33,0,0.33,0,0,0,0,0,0,0,0,0.98,0,0.66,0,0.33,0,0,0,1.31,6.56,6.56,0.33,1.64,4.92,0,0,0,4.26,10.49,0,1.31,0,0,0,0,0,17.38,6.89,5.9,0,0,1.64,2.95,0
1,1,109,77.9,13.99,45.04,33,27.25,21.1,78.9,61.47,45.87,9.17,5.5,4.59,0,0,0,0.92,3.67,14.68,9.17,7.34,9.17,5.5,3.67,4.59,1.83,12.84,8.26,4.59,4.59,0.92,2.75,0.92,8.26,0.92,7.34,0,0.92,3.67,1.83,0,1.83,0,2.75,1.83,0.92,0.92,0.92,0,0,0,0,0,3.67,0.92,0,0,0,0.92,0,2.75,0,0.92,0,0.92,4.59,0.92,0,3.67,10.09,3.67,0,4.59,2.75,0,0.92,0,0,0,0,0,0,0,0,0.92,0,3.67,0,0,0,0,0,0,5.5,11.93,0,0,9.17,2.75,0,0,5.5,6.42,0.92,0,1.83,1.83,0,0,0,13.76,5.5,2.75,0,0,0,5.5,0
1,1,46,97.2,10.88,4.38,20.23,46,17.39,67.39,43.48,32.61,4.35,4.35,4.35,0,0,0,0,0,13.04,13.04,17.39,8.7,6.52,0,2.17,0,8.7,2.17,8.7,2.17,0,0,2.17,10.87,0,10.87,2.17,2.17,2.17,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,2.17,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,6.52,0,0,0,0,0,0,23.91,8.7,8.7,0,0,0,6.52,0
1,1,249,71.07,24.97,15.16,37.57,22.64,18.88,77.91,68.27,55.82,9.24,4.02,2.41,0.4,0.8,0,0.4,5.22,17.27,10.84,1.2,12.85,10.04,4.42,8.84,0.4,14.86,8.03,5.62,1.61,0.4,0.4,0.8,11.24,0.8,10.44,0.4,2.81,2.41,2.01,0.4,3.21,0,2.01,1.61,0.4,0.8,0.4,0.4,0,0,0,0,2.41,0,0,0,0,0,0,2.01,0,0.4,0,0,2.81,0,1.2,1.61,2.81,0.4,0,0.8,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0.4,0,0,4.82,7.23,0,1.2,6.02,0.4,0,0,1.61,2.41,6.43,0.4,0,0,0,0,0,13.25,5.62,4.42,0,0,0,3.21,0
1,1,219,34.21,40.06,3.65,40.28,13.69,13.7,86.3,67.12,56.62,15.53,5.02,1.37,0.46,2.74,0,0,10.5,18.26,9.13,8.22,10.5,10.05,6.39,7.31,2.28,17.35,5.48,1.83,0.91,0.46,0.46,0,13.7,0.46,13.24,1.37,0.91,3.65,2.74,0.91,3.65,0,2.28,1.83,0.46,0,0,0,0,0,0,0,7.31,3.2,0,0,0,0,1.83,4.11,0,0,0,0.46,0.46,0,0,0.46,2.74,1.37,0,0.91,0.46,0,0.91,0,0,0,0,0,0,0.91,0,3.2,0,0.46,0,0,0,0,0.46,0,5.02,5.48,0.46,0.46,4.11,0.46,0.46,0,0.91,1.37,10.96,1.83,0,0,0,0,0,20.09,9.59,3.2,0,0,2.28,5.02,0
1,1,437,9.78,1.28,43.09,52,17.48,14.87,85.58,69.11,57.21,16.7,8.92,7.32,0,1.14,0,0.46,7.78,13.73,5.03,1.37,9.15,13.27,6.18,8.24,3.43,18.99,5.72,4.12,2.29,0,1.83,0.46,14.42,1.14,13.04,0.92,1.37,2.97,2.97,0.46,5.26,0,6.18,4.12,2.06,2.97,2.06,0.92,0,0.23,0.46,0,4.35,2.75,0,0,0.23,0.23,1.6,1.6,0,0,0,0,4.12,0,0,4.12,4.12,0.23,0.69,2.29,1.14,0,0.46,0,0,0,0,0,0,0.23,0,0.23,0.46,0.46,0.92,1.6,0.23,0,0.46,0,6.64,5.26,0.92,0.69,2.29,1.6,0.46,0.23,3.66,2.97,8.92,1.6,0.23,0,0.23,0,0,18.08,7.09,4.35,0.23,0.92,4.12,1.37,0
1,1,437,9.78,1.28,43.09,52,17.48,14.87,85.58,69.11,57.21,16.7,8.92,7.32,0,1.14,0,0.46,7.78,13.73,5.03,1.37,9.15,13.27,6.18,8.24,3.43,18.99,5.72,4.12,2.29,0,1.83,0.46,14.42,1.14,13.04,0.92,1.37,2.97,2.97,0.46,5.26,0,6.18,4.12,2.06,2.97,2.06,0.92,0,0.23,0.46,0,4.35,2.75,0,0,0.23,0.23,1.6,1.6,0,0,0,0,4.12,0,0,4.12,4.12,0.23,0.69,2.29,1.14,0,0.46,0,0,0,0,0,0,0.23,0,0.23,0.46,0.46,0.92,1.6,0.23,0,0.46,0,6.64,5.26,0.92,0.69,2.29,1.6,0.46,0.23,3.66,2.97,8.92,1.6,0.23,0,0.23,0,0,18.08,7.09,4.35,0.23,0.92,4.12,1.37,0
